1689990162.3303742 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.3494089 asterix_body -740.87730899694759 -657.56272730308183 1646.9236614318859 0.45353704151215002 0.61165838984930865 0.49261709307685192 -0.4213152806531823 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.3696759 asterix_body -740.8769781693394 -657.56646677557637 1646.9104598695255 0.45361665922448186 0.61178900558104565 0.49248575517830684 -0.42119344732631897 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.3966815 asterix_body -740.87343829292877 -657.5657142029545 1646.8925032825468 0.45360767893747728 0.61172415010111469 0.49255487812161691 -0.42121648808020662 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.4101119 asterix_body -740.87734858290025 -657.55892095385866 1646.9062128425385 0.45355771296024261 0.61168755224524296 0.4925778309968068 -0.42129659368784195 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.4301019 asterix_body -740.86676375509012 -657.57729323294927 1646.9204347797856 0.45364338514759012 0.61177236822683512 0.49250286203747334 -0.4211688253786865 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.449775 asterix_body -740.88293485549775 -657.57344998697874 1646.9257172043542 0.45359128182547004 0.61167534269006452 0.49255411467586552 -0.42130590823390263 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.4697661 asterix_body -740.88054603707212 -657.56530778400634 1646.9214254471331 0.45357602077934872 0.61165703681419448 0.49261154176034749 -0.42128177223106222 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.491257 asterix_body -740.87838608668562 -657.57224232141107 1646.9105872368975 0.45355416856094 0.61168086619695916 0.49259415730571265 -0.42129102802908958 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.51092 asterix_body -740.89196410891441 -657.57180837568046 1646.9334366667451 0.45364378607488376 0.61174302158535088 0.49248467106635163 -0.4212322870601653 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.5310941 asterix_body -740.88109329903034 -657.56817036529981 1646.9220541924278 0.45361886558670217 0.61172542356419679 0.49253106608254121 -0.42123043562002122 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.5517676 asterix_body -740.88183613788294 -657.55927539500919 1646.9032354576241 0.45361982529301415 0.61173662915615301 0.49252824627705449 -0.42121642568761714 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.5721276 asterix_body -740.88965850221314 -657.5594784520564 1646.9211174285972 0.45356405921848086 0.61166795880073799 0.49258446873806128 -0.42131044791202982 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
