time,wheel1_vel,wheel1_cur,wheel1_vol,wheel1_pos,wheel1_temp,wheel1_pwm,wheel2_vel,wheel2_cur,wheel2_vol,wheel2_pos,wheel2_temp,wheel2_pwm,wheel3_vel,wheel3_cur,wheel3_vol,wheel3_pos,wheel3_temp,wheel3_pwm,wheel4_vel,wheel4_cur,wheel4_vol,wheel4_pos,wheel4_temp,wheel4_pwm,hebi_steer_acc_x,hebi_steer_acc_y,hebi_steer_acc_z,hebi_steer_gyro_x,hebi_steer_gyro_y,hebi_steer_gyro_z,hebi_steer_pos_desired,hebi_steer_pos,hebi_steer_vel_desired,hebi_steer_vel,hebi_steer_eff,hebi_steer_cur_motor,hebi_steer_cur_motor_winding,hebi_steer_vol,hebi_steer_temp_board,hebi_steer_temp_motor_winding,hebi_steer_pwm,hebi_bogie_acc_x,hebi_bogie_acc_y,hebi_bogie_acc_z,hebi_bogie_gyro_x,hebi_bogie_gyro_y,hebi_bogie_gyro_z,hebi_bogie_pos_desired,hebi_bogie_pos,hebi_bogie_vel_desired,hebi_bogie_vel,hebi_bogie_eff,hebi_bogie_cur_motor,hebi_bogie_cur_motor_winding,hebi_bogie_vol,hebi_bogie_temp_board,hebi_bogie_temp_motor_winding,hebi_bogie_pwm,in_transition,gait_name
1691284840.100401,0.0,0.0,11.9,89.6455078125,36,-0.113,-0.0,-0.0,11.9,94.1728515625,36,0.0,0.0,0.0,11.9,90.72021484375,36,0.0,-0.0,-0.0,12.0,93.756591796875,34,0.0,0.4828169643878937,0.39450010657310486,9.818948745727539,0.0001348782971035689,0.0009057114948518574,-0.00028171687154099345,0.040424998849630356,0.04033229872584343,-0.0,-0.023596663028001785,-0.24376316368579865,0.2453470230102539,1.137231707572937,48.01444625854492,44.58384323120117,35.03302764892578,0.22293676435947418,-9.616888046264648,0.4423931837081909,-0.07776841521263123,-0.0009988176170736551,0.00020814884919673204,-0.0022869575768709183,-0.019917313009500504,-0.01993734041322881,0.0,0.012914917431771755,-0.006045436952263117,0.007367134094238281,0.024887895211577415,48.23240661621094,42.41126251220703,35.58518981933594,0.014761905185878277,0.0,STARTUP
1691284840.1354392,0.0,0.0,11.9,89.645751953125,36,0.0,-0.0,-0.0,11.9,94.1728515625,36,-0.113,0.0,0.0,11.9,90.719970703125,35,0.0,-0.0,-0.0,12.0,93.756591796875,34,0.0,0.39038464426994324,0.44674932956695557,9.763784408569336,-0.024113327264785767,0.002302712295204401,-0.07017380744218826,0.0397573858499527,0.043373528867959976,-0.041806742548942566,0.10463044047355652,-0.05534537509083748,0.043931007385253906,-0.640623152256012,48.10689926147461,44.605262756347656,35.30897903442383,-0.07357142865657806,-9.598246574401855,0.37020573019981384,-0.1434309482574463,-0.05648631602525711,-0.005970184225589037,-0.0032452265731990337,-0.01987668126821518,-0.019948784505025685,0.0025444766506552696,3.6918558180332184e-05,-0.008279631845653057,0.007367134094238281,0.027051983401179314,48.23240661621094,42.43880081176758,35.5859260559082,0.017380952835083008,0.0,STARTUP
1691284840.1670895,0.023980823922402087,0.0,11.9,89.64599609375,36,-0.452,-0.0,-0.0,11.9,94.1728515625,36,-1.356,0.0,16.14,11.9,90.72021484375,35,1.1300000000000001,-0.0,-0.0,12.0,93.757080078125,35,0.226,0.605520486831665,0.7741395235061646,9.566399574279785,0.00531528377905488,0.0038440742064267397,0.034132011234760284,0.037746768444776535,0.04364445060491562,-0.08373522758483887,-0.04473109170794487,-0.2353920042514801,0.010972023010253906,0.025077564641833305,48.10689926147461,44.605262756347656,35.44820022583008,-0.02547619119286537,-9.658646583557129,0.2131040394306183,0.0854087769985199,0.02652629092335701,-0.0022381239105015993,0.0010385164059698582,-0.019754309207201004,-0.019997421895162404,0.005096362438052893,-0.0010072346776723862,0.0037779214326292276,0.007367134094238281,0.05195612832903862,48.247901916503906,42.417381286621094,35.58786392211914,0.002142857061699033,0.0,STARTUP
1691284840.1996744,0.023980823922402087,-10.76,11.9,89.64599609375,36,-0.904,-0.0,10.76,11.9,94.173095703125,36,-3.051,0.0,48.42,11.9,90.72021484375,35,2.938,0.023980823922402087,-0.0,12.0,93.757080078125,34,0.678,0.6492705345153809,0.2491626739501953,9.63134765625,-0.009850255213677883,-0.004377154633402824,0.0066419015638530254,0.03438534587621689,0.042768631130456924,-0.12574486434459686,-0.01503943931311369,-0.3251911401748657,0.051255226135253906,-0.3144885301589966,48.091487884521484,44.62362289428711,35.502132415771484,-0.08214285969734192,-9.62186050415039,0.2688595652580261,0.11386188864707947,0.010930382646620274,0.01302124373614788,-0.00032655481481924653,-0.019549723714590073,-0.019928757344381154,0.007653187960386276,0.008791699074208736,0.0032051929738372564,0.011029243469238281,0.08764655143022537,48.23240661621094,42.420440673828125,35.59183883666992,0.011428571306169033,0.0,STARTUP
1691284840.2315178,0.0,-8.07,11.9,89.64599609375,36,-0.791,0.023980823922402087,72.63,11.9,94.173583984375,36,-5.311,0.023980823922402087,96.84,11.9,90.720703125,36,4.859,-0.0,-0.0,12.0,93.7568359375,34,0.678,0.18143251538276672,0.9234626293182373,9.684216499328613,-0.00967686902731657,-0.00372301135212183,0.03650835528969765,0.029716268181800842,0.04092490300536156,-0.16743773221969604,-0.09864936769008636,-0.44483304023742676,0.0915384292602539,-0.5767374634742737,48.091487884521484,44.602203369140625,35.636871337890625,-0.13397641479969025,-9.599756240844727,0.4106486141681671,-0.3007722496986389,0.04146842658519745,-0.00045294794836081564,0.0012810704065486789,-0.01926554925739765,-0.019897286091939748,0.010190732777118683,0.004183657933026552,0.011222690343856812,0.011029243469238281,0.06492189317941666,48.23240661621094,42.39902114868164,35.59779739379883,0.017380952835083008,0.0,STARTUP
1691284840.2629879,0.0,0.0,11.9,89.645751953125,36,-0.678,0.09592329568960835,104.91,11.9,94.174560546875,36,-7.345000000000001,0.09592329568960835,118.36,11.9,90.721923828125,36,7.119,-0.023980823922402087,-0.0,12.0,93.756591796875,34,0.226,0.2124527394771576,0.4143139719963074,10.014381408691406,-0.00822076853364706,-0.006656995043158531,0.0964035764336586,0.023674864321947098,0.03523683175444603,-0.20940808951854706,-0.21792137622833252,-0.4894000291824341,0.1537942886352539,-0.8224987387657166,48.060672760009766,44.60832214355469,35.82207489013672,-0.21864952147006989,-9.67108154296875,0.37998494505882263,-0.42406994104385376,0.09619157016277313,-0.002469173865392804,-0.011766210198402405,-0.018897851929068565,-0.019790474568502248,0.012745168060064316,0.01860307715833187,0.024534055963158607,0.014691352844238281,0.0973488911986351,48.216915130615234,42.420440673828125,35.60525131225586,0.020476190373301506,0.0,STARTUP
1691284840.2953653,-0.023980823922402087,0.0,11.9,89.6455078125,36,-0.339,0.1918465913792167,99.53,11.9,94.17626953125,36,-9.379,0.1678657674568146,129.12,11.9,90.723388671875,35,9.040000000000001,-0.023980823922402087,13.45,12.0,93.75634765625,34,-0.226,0.2090851366519928,-0.03535644710063934,10.069849014282227,-0.004443826619535685,-0.0060972366482019424,0.1201079785823822,0.016326963901519775,0.02822817862033844,-0.25117427110671997,-0.19828249514102936,-0.5606880784034729,0.2526712417602539,-1.0022106170654297,48.02985382080078,44.61750411987305,36.01456832885742,-0.26473739743232727,-9.735832214355469,0.3739735782146454,-0.30399757623672485,0.10282623767852783,0.005699902772903442,-0.013673306442797184,-0.01845063827931881,-0.01972657838930303,0.015287174843251705,0.018344640731811523,0.03606704995036125,0.014691352844238281,0.14596767723560333,48.170433044433594,42.41432189941406,35.61420440673828,0.03380952402949333,0.0,STARTUP
1691284840.3270879,-0.023980823922402087,0.0,11.9,89.645263671875,36,0.0,0.31175071099122714,99.53,11.9,94.1787109375,36,-10.622,0.28776988706882506,172.16,11.8,90.725341796875,35,10.848,-0.023980823922402087,16.14,12.0,93.75634765625,34,-0.452,0.3175148069858551,1.223700761795044,9.517617225646973,-0.026552747935056686,-0.0029037182684987783,0.1313909888267517,0.007965277880430222,0.018516283482313156,-0.2617993950843811,-0.3136768639087677,-0.7438333034515381,0.051255226135253906,-0.3219921588897705,48.091487884521484,44.5899658203125,36.475791931152344,-0.12540192902088165,-9.559070587158203,0.21011629700660706,-0.11271074414253235,0.11666080355644226,-0.003988465294241905,-0.019514964893460274,-0.017918802797794342,-0.019625488911763966,0.017844876274466515,-0.004037868697196245,0.07710595428943634,0.011029243469238281,0.07801511883735657,48.23240661621094,42.423500061035156,35.62932586669922,0.02190476283431053,0.0,STARTUP
1691284840.3595147,-0.023980823922402087,0.0,11.9,89.645263671875,36,0.226,0.4076740066808355,99.53,11.9,94.180908203125,36,-11.187000000000001,0.3597123588360313,174.85,11.9,90.727783203125,36,11.978,-0.0,16.14,12.0,93.756103515625,34,-0.452,0.23960015177726746,0.7492109537124634,9.598715782165527,-0.031792450696229935,-0.005463251378387213,0.1631036251783371,-0.00042722478974610567,0.00870460458099842,-0.2617993950843811,-0.3008648157119751,-0.713509202003479,0.1171731948852539,-0.6865023374557495,48.12230682373047,44.5899658203125,36.77570724487305,-0.2057877779006958,-9.50815200805664,0.18699195981025696,-0.12747490406036377,0.14981813728809357,-0.004327469505369663,-0.023794785141944885,-0.01730581372976303,-0.019348923360006154,0.020398834720253944,0.015356025658547878,0.09856539219617844,0.014691352844238281,0.15331757068634033,48.23240661621094,42.40514373779297,35.637264251708984,0.024523809552192688,0.0,STARTUP
1691284840.3912249,-0.023980823922402087,2.69,11.9,89.64501953125,36,0.791,0.4796164784480417,75.32,11.9,94.183837890625,36,-11.187000000000001,0.43165483060323756,153.32999999999998,11.9,90.73046875,36,12.543000000000001,-0.0,13.45,12.0,93.756103515625,34,-0.678,0.11326107382774353,0.12864430248737335,9.650321960449219,-0.02562348172068596,-0.010263537988066673,0.1838778555393219,-0.008774960413575172,-0.00237995944917202,-0.2617993950843811,-0.274114727973938,-0.6941092610359192,0.1501321792602539,-0.6312808394432068,48.10689926147461,44.58690643310547,37.07352066040039,-0.17148981988430023,-9.537017822265625,0.18782323598861694,-0.14116740226745605,0.16171415150165558,0.0016144760884344578,-0.02525201439857483,-0.016614876687526703,-0.01928598085512334,0.02293916791677475,0.00990574061870575,0.12420808523893356,0.02567768096923828,0.21721786260604858,48.23240661621094,42.40208053588867,35.65270233154297,0.034761905670166016,0.0,STARTUP
