time,wheel1_vel,wheel1_cur,wheel1_vol,wheel1_pos,wheel1_temp,wheel1_pwm,wheel2_vel,wheel2_cur,wheel2_vol,wheel2_pos,wheel2_temp,wheel2_pwm,wheel3_vel,wheel3_cur,wheel3_vol,wheel3_pos,wheel3_temp,wheel3_pwm,wheel4_vel,wheel4_cur,wheel4_vol,wheel4_pos,wheel4_temp,wheel4_pwm,hebi_steer_acc_x,hebi_steer_acc_y,hebi_steer_acc_z,hebi_steer_gyro_x,hebi_steer_gyro_y,hebi_steer_gyro_z,hebi_steer_pos_desired,hebi_steer_pos,hebi_steer_eff,hebi_steer_cur_motor,hebi_steer_cur_motor_winding,hebi_steer_vol,hebi_steer_temp_board,hebi_steer_temp_motor_winding,hebi_steer_pwm,hebi_bogie_acc_x,hebi_bogie_acc_y,hebi_bogie_acc_z,hebi_bogie_gyro_x,hebi_bogie_gyro_y,hebi_bogie_gyro_z,hebi_bogie_pos_desired,hebi_bogie_pos,hebi_bogie_eff,hebi_bogie_cur_motor,hebi_bogie_cur_motor_winding,hebi_bogie_vol,hebi_bogie_temp_board,hebi_bogie_temp_motor_winding,hebi_bogie_pwm,in_transition
1686903784,0.11990412,145.26,11.9,0.061035156,37,5.989,0.623501422,112.98,11.9,-0.831787109,35,-13.334,0.599520598,166.78,11.7,0.848388672,35,14.125,-0.023980824,34.97,12,-0.736816406,36,-1.469,0.600120068,-0.164150625,10.03162479,-0.10913223,-0.023067927,0.113903828,0.245849282,0.25112775,-0.507426083,0.179429054,-0.754315734,47.99903488,49.34210587,41.86417007,-0.214362279,-9.720837593,1.053712845,-0.342585236,0.115332067,-0.002352988,-0.219521835,0.000104068,0.000507355,-0.229218826,0.007367134,-0.020081349,48.20141983,45.91187286,41.73486328,-0.017142856,0
1686903784,0.11990412,153.33,11.9,0.061767578,37,5.989,0.647482246,112.98,11.9,-0.828613281,35,-12.882,0.599520598,188.3,11.7,0.8515625,35,14.012,0,37.66,12,-0.736816406,36,-1.356,0.601887226,-0.375364393,10.25638866,-0.102969959,-0.022920573,0.117505245,0.23746255,0.242307395,-0.494684368,0.219712257,-0.915451527,47.98362732,49.34516525,42.02727509,-0.23151125,-9.691599846,0.523644269,-0.485309362,0.106082663,-0.005396234,-0.262359828,9.85E-05,0.000357628,-0.232007921,0.007367134,-0.030641295,48.18592453,45.92105103,41.72896576,-0.003095238,0
1686903784,0.11990412,164.09,11.9,0.0625,37,5.989,0.623501422,112.98,11.9,-0.825683594,35,-12.317,0.599520598,201.75,11.6,0.854736328,35,13.899,0,40.35,12,-0.736816406,36,-1.356,0.403218657,0.735952258,9.40154171,-0.072503835,-0.032323461,0.110101804,0.229095429,0.231157154,-0.543230355,0.032944679,-0.219566688,48.06067276,49.35740662,42.3390007,-0.102893889,-9.75273037,0.071354069,-0.475994974,0.113094248,-0.00380839,-0.248387814,9.23E-05,0.000285149,-0.230052695,0.011029243,-0.034868471,48.18592453,45.91799164,41.72281647,-0.004761905,0
1686903784,0.11990412,172.16,11.9,0.063232422,37,5.989,0.599520598,104.91,11.9,-0.822509766,35,-12.091,0.575539774,193.68,11.7,0.857666016,35,14.012,0,43.04,12,-0.736816406,36,-1.356,0.501502037,0.242022917,9.62660408,-0.113359652,-0.03302357,0.098902158,0.220623881,0.222963169,-0.494555861,0.084214211,-0.494690865,48.02985382,49.360466,42.51478577,-0.14898178,-9.548264503,1.274474621,-0.307975918,0.122217603,0.004435884,-0.10531985,8.56E-05,0.000220299,-0.225481048,0.011029243,-0.06766928,48.21691513,45.91187286,41.71453094,-0.013095238,0
1686903784,0.11990412,156.02,11.9,0.063720703,37,5.989,0.575539774,102.22,11.9,-0.819824219,35,-11.978,0.575539774,217.89,11.7,0.860351563,35,14.238,0,43.04,12,-0.736572266,36,-1.356,0.51756537,0.259169161,9.937479019,-0.12326479,-0.033031724,0.103586189,0.212340012,0.214846194,-0.502957642,0.102524757,-0.596410334,48.02985382,49.35128784,42.67925262,-0.154340833,-9.635692596,1.079429865,-0.241161764,0.117159761,0.005818313,-0.205479845,7.85E-05,0.000159264,-0.235602215,0.007367134,0.057097219,48.21691513,45.90575409,41.70847702,-0.01,0
1686903784,0.11990412,172.16,11.9,0.064453125,37,5.876,0.575539774,94.15,11.9,-0.816894531,35,-11.978,0.55155895,207.13,11.7,0.86328125,35,14.351,0,40.35,12,-0.736572266,36,-1.243,0.485051066,-0.176778406,10.17013454,-0.113743514,-0.029719811,0.10414096,0.203927085,0.206622332,-0.476648241,0.150132179,-0.722512901,48.01444626,49.34516525,42.81874847,-0.182207927,-9.6264534,0.638836503,-0.424912363,0.100489095,0.005183376,-0.247785434,7.07E-05,0.000100136,-0.227867484,0.011029243,-0.036996473,48.20141983,45.92717361,41.70180511,-0.006666667,0
1686903784,0.11990412,166.78,11.9,0.065185547,37,5.876,0.575539774,94.15,11.9,-0.813964844,35,-11.978,0.55155895,225.96,11.7,0.866455078,35,14.577,0,40.35,12,-0.736816406,36,-1.243,0.48577413,-0.436557561,10.31005764,-0.091909565,-0.025049286,0.11187534,0.195600569,0.198095977,-0.457095772,0.161118507,-0.666466296,48.01444626,49.35128784,42.94495773,-0.207931399,-9.715973854,0.243228853,-0.459947765,0.106979877,0.002259657,-0.252574861,6.25E-05,0.000164986,-0.226631135,0.011029243,-0.058138646,48.20141983,45.9026947,41.69561005,-0.012142858,0
1686903784,0.11990412,161.4,11.9,0.065673828,37,5.876,0.575539774,88.77,11.9,-0.811035156,35,-11.978,0.575539774,217.89,11.7,0.869384766,36,14.351,0,40.35,12,-0.736572266,36,-1.243,0.406523556,0.725951076,9.407969475,-0.09814667,-0.026587617,0.093363926,0.187129274,0.187740102,-0.460821778,0.054917336,-0.353037566,48.04526138,49.36658478,43.19587326,-0.118971065,-9.755677223,-0.149591863,-0.443663508,0.108702458,-0.001986599,-0.243391663,5.45E-05,7.15E-05,-0.222347185,0.011029243,-0.072892174,48.17043304,45.90881348,41.69011307,-0.021666666,0
1686903784,0.11990412,139.88,11.9,0.06640625,37,5.65,0.575539774,91.46,11.9,-0.807861328,36,-11.865,0.575539774,215.2,11.7,0.872314453,36,14.238,0,37.66,12,-0.736572266,36,-1.243,0.438171774,0.777639508,9.537947655,-0.114783183,-0.025499953,0.102916956,0.178820282,0.179570884,-0.457317293,0.051255226,-0.376728535,48.06067276,49.36964417,43.32217407,-0.118971065,-9.561235428,1.311878085,-0.272709996,0.132900462,-0.003787718,-0.142575681,4.72E-05,5.82E-05,-0.230138958,0.007367134,0.001057797,48.23240662,45.92105103,41.68245316,-0.01,0
1686903784,0.11990412,139.88,11.9,0.067138672,37,5.198,0.575539774,86.08,11.9,-0.8046875,36,-11.639,0.575539774,190.99,11.7,0.875488281,35,14.125,0,37.66,12,-0.736816406,36,-1.243,0.370335132,0.008974358,9.76930809,-0.143221065,-0.028055573,0.097904906,0.170384049,0.171279028,-0.388144791,0.102524757,-0.618665338,48.02985382,49.36352539,43.45743561,-0.183279738,-9.583350182,1.000185966,-0.350744039,0.105933167,-0.001287324,-0.255375266,4.03E-05,6.29E-05,-0.22642988,0.007367134,-0.027494492,48.21691513,45.91799164,41.67641449,-0.016428571,0
1686903784,0.11990412,137.19,11.9,0.067626953,37,5.085,0.575539774,80.7,11.9,-0.801757813,36,-11.526,0.575539774,193.68,11.7,0.878417969,35,13.899,0,32.28,12,-0.736572266,36,-1.243,0.514404535,-0.402043968,9.87443161,-0.134820983,-0.019437486,0.098274119,0.162071928,0.163060695,-0.371560335,0.106186867,-0.572315991,48.02985382,49.34516525,43.60584259,-0.169346198,-9.635591507,0.499879658,-0.299403459,0.102155462,-0.002740055,-0.30146414,3.41E-05,1.24E-05,-0.226343617,0.007367134,0.002115006,48.21691513,45.91799164,41.67063904,-0.021190476,0
1686903784,0.095923296,129.12,11.9,0.068359375,36,4.972,0.575539774,78.01,11.9,-0.798828125,36,-11.3,0.575539774,182.92,11.7,0.881347656,35,13.673,0,24.21,12,-0.736572266,36,-1.243,0.570394635,-0.63777256,10.12786674,-0.113804355,-0.018039254,0.102823712,0.153713703,0.154937789,-0.331752449,0.175766945,-0.76288414,47.99903488,49.36352539,43.69673157,-0.2165059,-9.543582916,1.482531667,-0.136972219,0.130093247,-0.000197346,-0.089453287,2.83E-05,2.57E-05,-0.235372186,0.007367134,-0.029620325,48.23240662,45.91187286,41.66397858,0.002142857,0
1686903784,0.095923296,118.36,11.9,0.068847656,36,4.633,0.575539774,83.39,11.9,-0.796142578,36,-11.3,0.575539774,182.92,11.7,0.884521484,35,13.673,0,24.21,12,-0.736328125,36,-1.13,0.458877772,0.8151232,9.461718559,-0.110868469,-0.016153634,0.090175569,0.145326972,0.14497596,-0.366996586,0.036606789,-0.269563347,48.07608032,49.36352539,43.87921906,-0.090476193,-9.771832466,-0.575100958,-0.313800216,0.1050082,0.004012998,-0.256080836,2.31E-05,2.38E-05,-0.228758812,0.011029243,-0.046516988,48.20141983,45.930233,41.66013336,-0.004285714,0
1686903784,0.095923296,112.98,11.9,0.069335938,36,4.407,0.55155895,102.22,11.9,-0.793212891,36,-11.187,0.575539774,193.68,11.7,0.887451172,35,13.673,0,21.52,12,-0.736328125,36,-0.904,0.478151292,0.726687074,9.624442101,-0.151068449,-0.017769843,0.085438751,0.136933684,0.137412429,-0.361782998,0.043931007,-0.333816499,48.06067276,49.35128784,43.99942017,-0.098095238,-9.508187294,1.453491211,-0.244439691,0.122704342,0.000509951,-0.153105602,1.84E-05,-1.60E-05,-0.231404096,0.007367134,-0.012690851,48.21691513,45.92411041,41.65314865,-0.005,0
1686903784,0.095923296,121.05,11.9,0.069824219,36,4.181,0.527578126,104.91,11.9,-0.790771484,36,-11.3,0.575539774,182.92,11.7,0.890136719,35,13.673,0,13.45,12,-0.736328125,36,-0.791,0.483302623,0.114493415,9.635901451,-0.150587574,-0.015449412,0.093955301,0.128539875,0.129302725,-0.32751587,0.080552101,-0.441293418,48.04526138,49.36352539,44.083992,-0.122186497,-9.60559845,1.181304932,-0.250197738,0.106503807,-0.000480661,-0.240432948,1.42E-05,6.01E-05,-0.23082903,0.007367134,-0.057109907,48.21691513,45.92105103,41.64816284,-0.001666667,0
