1691285934.7506361 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1691285934.7712145 asterix_back -1752.7907901601293 -113.55156463167162 191.39064555466595 -0.015746429560699153 0.042513338207837044 -0.068875162937064097 0.99659464074462534 asterix_front -1324.1303680066776 -161.42540052675477 322.36488475266742 -0.030037189968729033 0.028363684482690273 -0.059067620850584757 0.99739875916726528
1691285934.7906976 asterix_back -1752.7198949801748 -113.58032636377726 191.41648891309109 -0.015974014180955579 0.042956248751297235 -0.06882432750232749 0.99657553828498913 asterix_front -1324.0930818500678 -161.43064938585303 322.34427905616246 -0.030007793208134938 0.028338685922734055 -0.059090715847483599 0.9973989866285119
1691285934.8106613 asterix_back -1753.1543749715831 -113.43617194612148 191.47942091274555 -0.015464515473234968 0.044119430189075069 -0.069586956336189207 0.99647979414980348 asterix_front -1324.0839537880377 -161.42325250319942 322.33692289000555 -0.029996427890283988 0.028366218104008793 -0.059063175761051162 0.99740017708706974
1691285934.8309302 asterix_back -1753.0945265379974 -113.46377848876061 191.51333265237173 -0.015547380780639187 0.044283300492470701 -0.069314105299273648 0.99649025236322131 asterix_front -1324.1384332442933 -161.42642869008864 322.36728343403502 -0.030012702095517582 0.028288616829587224 -0.059101355590851418 0.9973996298566179
1691285934.8520625 asterix_back -1752.7499060136035 -113.57867496839613 191.39645758919895 -0.015845147651694317 0.042596702041809327 -0.068717827058914382 0.99660037754124819 asterix_front -1324.1139050898014 -161.41501732113932 322.35475241402725 -0.03002905488426693 0.02828576605800661 -0.059080637346002607 0.99740044595541444
1691285934.8717256 asterix_back -1752.7686117297924 -113.5595037849903 191.3864039459489 -0.015800707978160831 0.042573570377781013 -0.06892857544332294 0.99658751759192288 asterix_front -1324.1081771656209 -161.42695817974342 322.35227564845945 -0.029989297553018313 0.028306984698033097 -0.059069148782873171 0.99740172062797683
1691285934.891664 asterix_back -1752.3131520767199 -113.70035787736784 191.26742206951806 -0.016111896115210671 0.040505139730367651 -0.06799886339603893 0.99673260959790155 asterix_front -1324.1002024679988 -161.42653494498771 322.34765519646947 -0.029949790594627677 0.028302234645146467 -0.059089579785353036 0.99740183232146684
1691285934.9129405 asterix_back -1752.5011844263829 -113.66297386568753 191.33034102512434 -0.016102301099769078 0.041495967779575246 -0.068418940350788271 0.99666325765456221 asterix_front -1324.1063755735377 -161.42694325198494 322.34154675478618 -0.029986226062812104 0.028309855812826183 -0.059059651676391163 0.99740229388859458
1691285934.9325805 asterix_back -1753.0383148954622 -113.48425427665174 191.50474559923973 -0.015654913600701977 0.043872197491374533 -0.06912542195519332 0.99651985931387688 asterix_front -1324.1055817448666 -161.42081408541978 322.35254648016871 -0.029990489463239223 0.028285320930541681 -0.059064489444492045 0.99740257531664378
1691285934.9535277 asterix_back -1753.170623969125 -113.46540055175215 191.58152796603227 -0.015718448551403107 0.044759759339917431 -0.069382002045234356 0.99646155576176887 asterix_front -1324.1261147477057 -161.42034322680311 322.36850843939425 -0.029982329127033133 0.028308572540505793 -0.059083183648982122 0.99740105377462773
