1689991042.3723328 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689991042.3927248 asterix_body -606.4277044172818 -533.88834606678574 2024.4232904683565 0.60296764088150312 0.46312509442983824 0.42267617868899099 -0.493244380533646 asterix_bogie -885.11991475129901 -700.07100499663568 1815.9375667837551 0.18848437693466175 0.93124488923866244 0.28268975185978573 0.13169320450151045
1689991042.4133098 asterix_body -606.41734112385234 -533.88261878935418 2024.4181538098135 0.60299361912897897 0.46312830149249767 0.42262765268486274 -0.49325119242886079 asterix_bogie -885.0498009411848 -700.0597099575732 1816.0221918627199 0.18744355558948614 0.93190292340207703 0.28134435202589442 0.13140475792665768
1689991042.4339852 asterix_body -606.4221634461544 -533.89103295060761 2024.4309582439523 0.60297050406104713 0.46312834926045243 0.422666459429481 -0.49324615296726054 asterix_bogie -885.05989092887069 -700.06732668431266 1816.0242040628766 0.18763111830696977 0.93178327243631509 0.28155504483487109 0.1315342289245717
1689991042.452765 asterix_body -606.42160530975434 -533.89238877812704 2024.4246791053845 0.60296153374693939 0.4631043504060936 0.42266976538188133 -0.49327681770838783 asterix_bogie -885.07447560117225 -700.08122637168265 1816.0342120003638 0.18764243564666949 0.93177871318045802 0.2815823074542651 0.13149201548796405
1689991042.4726102 asterix_body -606.42013497590233 -533.88486795158792 2024.4367153170169 0.60297693470335223 0.46311332341352213 0.42265462057988373 -0.49326254428560323 asterix_bogie -885.09537804152092 -700.16925256657487 1816.1882906609317 0.18721594049039425 0.93217857321000741 0.28047780448869658 0.13162636690136403
1689991042.4926558 asterix_body -606.42049160156694 -533.89049724983397 2024.4340090910221 0.60297830721156198 0.46311889108799115 0.42265681422151485 -0.49325375937931609 asterix_bogie -885.06909927918707 -700.07970279003723 1816.020146503741 0.18770721839615739 0.9317369860968322 0.281661186680909 0.1315262894583091
1689991042.5141475 asterix_body -606.42648450065462 -533.88363559444758 2024.4288581514431 0.60296417410255931 0.46313587343536328 0.42267408551837693 -0.49324029125496782 asterix_bogie -885.07549499666573 -700.17074386063359 1816.2350714112317 0.18680149231840812 0.93244568286037266 0.27992029235852195 0.1315100030742487
1689991042.5342069 asterix_body -606.41573271042171 -533.88990532055266 2024.4301587404273 0.6029871052347977 0.46312446297360899 0.42263370053831012 -0.4932575776257872 asterix_bogie -885.10918848271649 -700.07606973655618 1816.0107413017845 0.18807951254155147 0.93149023472595749 0.28218687412047355 0.13161537769739975
1689991042.5551672 asterix_body -606.42160862860908 -533.88726048706383 2024.4328635655302 0.60297254367725461 0.46312088633368226 0.4226678550396305 -0.49324947088576165 asterix_bogie -885.04946099777487 -700.16151892523669 1816.2703998011687 0.18637116126151967 0.93271232193054743 0.27936697941961658 0.1314062615666354
1689991042.5746906 asterix_body -606.41911983843249 -533.89165220229052 2024.4291874494008 0.60295946613338469 0.4631133764334141 0.42268400782536353 -0.49325866672292212 asterix_bogie -885.06167679130806 -700.06642962646879 1815.9719463116739 0.18784804294127386 0.9316256968565626 0.28194001382278033 0.13151616754326423
