duration_s,power_wheels_W,power_hebis_W,total_energy_J,pos_change_xyz_m,heading_change_rad,cost_of_transport,max_accel_steer_radps2,max_accel_bogie_radps2
4.063672780990601,7.067813501224135,4.971210041130833,0.34251586593525496,"(0.025944243925669186, 0.0047880269448501295, 0.0005995970933324601)",0.0548948006185114,0.16966935844162417,25.061197596765904,1.2935547049547167
3.9996917247772217,3.158915974163389,2.361123811380485,0.445317666963043,"(0.0020072198093430416, 0.0003075642079528873, -0.00023924840857747487)",0.0013855256734989496,2.865971637823685,11.522729151663013,18.36464380722821
4.062440633773804,6.696762738092411,11.745585824014222,2.004691041331288,"(9.482511106273517e-05, -0.020616307518322705, 0.01438834107928677)",0.03445759841936645,1.2707741212807961,14.838848484255928,5.732869391061704
3.999650001525879,6.45654471687504,13.240620536142004,3.8932288768955767,"(0.02896444644731322, 0.017501489619235033, -0.01368810480430871)",0.025685738109576625,1.503480590475382,22.218624549476953,10.110291554248645
4.01572847366333,7.9329999006592935,10.113718600585596,1.2662889839077036,"(0.0236264665998642, -0.008231366460533879, 0.0010289174390861744)",0.07720433770543791,0.6614455255967864,11.824528666257642,7.182445705605371
3.935910224914551,6.1239876343068955,4.268442801843923,0.07108471949332616,"(0.005685131855529046, -0.002808676337679561, 0.00022392461555126308)",0.004359205637222752,0.14650380956742284,1.9742913658187902,5.0263530281191136
3.9676389694213867,11.268878345671277,10.88575971179771,1.7517897715540056,"(0.010750108313174134, 0.01985800440054769, 0.010306572951306159)",0.018241417156353634,1.0138499160475705,22.1127480914605,4.517763649620061
3.968047618865967,8.751628166601547,6.7302738491975544,3.072471058162538,"(0.015917262849406644, -0.03412561431610611, -0.009641765566653415)",0.03194140661055744,1.0663476472451647,32.293907969071824,6.939523946521632
3.999866008758545,10.89525340590782,5.4287078256833725,1.3140276001750237,"(0.028919055946757588, 0.004080741940262866, 0.0021604214797302235)",0.05736900926903615,0.5879974766154438,14.567130057501977,16.90912389781778
3.983880043029785,8.731036619943627,6.365891972470532,0.8480015321065397,"(0.020329956463384535, 0.002211203006358742, 0.002601320947877628)",0.04339732386887131,0.5419295152489672,6.3576113189112675,15.377789352611355
3.9033546447753906,6.027210904706498,4.0824936980945905,0.36527416298290966,"(0.02625105382760995, 0.007900753214544962, -0.0011334913267488367)",0.05377341023935095,0.17413231445707736,19.163765035640036,2.2219363143191266
3.9518423080444336,5.551214095203848,5.149143935600297,0.12681166038953612,"(0.005493094461610393, 0.0017384425748320498, -5.262287224883089e-05)",0.009074629707488846,0.2876410987407051,12.938471651609863,2.069934603608552
3.9999372959136963,7.16740896945673,12.895862446183722,1.918834734889411,"(0.01557389393857489, 0.0027021811744598343, 0.0007895457468529155)",0.013223082139715348,1.5864853330493245,16.742133308780524,12.960172441950236
3.9831860065460205,5.386356117323039,11.89258244223596,1.624346508371644,"(0.019042108460399845, 0.010883754171114673, -0.0061255907842096)",0.016361912646724736,0.9678684845349761,17.92343652151334,27.692432527378536
4.031841516494751,12.137938375756153,4.968278321176421,1.3656622698357548,"(0.03111341761752698, -0.008779952629064912, 0.00019293955512417194)",0.06373953896138951,0.552069889634083,2.1657444672713946,2.4705426575987266
3.9839470386505127,7.225029796257186,3.41955156234941,0.12649704768494502,"(0.008954435900277113, -0.0011377970466534756, -0.00035432990054817814)",0.01884377801655704,0.18314732736530956,4.135229460847237,31.47501636107338
3.96734881401062,10.779197908953144,11.224155093241594,1.7446720920578702,"(0.010809240038305523, 0.016256044630970794, 0.008447004692839155)",0.01373722572147941,1.1679694807680114,17.468407845855907,5.561210540151538
3.9998857975006104,8.198967626700501,7.250707066184416,3.010153937718881,"(0.015807193567913047, -0.004540362198742404, -0.000570174053887762)",9.177925065061154e-05,2.3919698683069117,31.662551828032285,10.467380127519995
