duration_s,power_wheels_W,power_hebis_W,total_energy_J,pos_change_xyz_m,heading_change_rad,cost_of_transport
1.7277181148529053,7.646935853607531,2.0495486453124836,0.2978100217915735,"(0.012316901352798615, 0.012033188542125983, 0.00021518242485152328)",0.03345626233657423,0.22602717153799554
1.1200153827667236,8.673876569265607,1.126156246511218,0.012691221095321443,"(4.9769126174492584e-05, 3.36442296053896e-05, -1.4607529005505882e-05)",0.0002330386490947134,2.760910761266802
1.0229570865631104,4.267989075949408,12.699926858222796,0.7103913558624061,"(0.013494362532534332, 0.011072423284816058, 4.853904743923332e-05)",0.00039872164352500183,0.5318637761281749
2.272045135498047,4.456357816057686,6.573841004613479,1.0485152112046554,"(0.018066220370484554, 0.036273521238946504, -0.010973290382961853)",0.019971554007597814,0.33814567112966576
0.8958828449249268,9.453062445076984,1.60136386890099,0.20592233203817345,"(0.006433592988613679, 0.004183994816028616, 0.00019324334180409464)",0.01455241744204977,0.3506658744166005
0.8802366256713867,2.2639556811035,2.3995429267207684,0.051541399169050046,"(-0.0005505845988476588, 0.00015935947583636811, -5.533169975263652e-05)",0.0007532074226604957,1.1751660385836535
1.1356902122497559,4.550815332287134,17.437926980760743,1.496321891131315,"(0.02746104072795086, 0.02240795849771371, 0.0003965088354829782)",0.016971812740058212,0.5517313237069231
2.3359639644622803,8.088850502755225,19.25629241499458,4.267887408984935,"(0.08531693195161683, 0.04162319826501604, -0.016390228929758333)",0.011756948633744213,0.5875590701740633
1.119710922241211,9.38025023366624,4.043238156278167,0.3625999370521349,"(0.008006725034409343, 0.012108171443103943, 0.0007624883946196204)",0.0321824453402233,0.3264494283899398
1.120239496231079,3.310640119028759,3.4524226862607255,0.0778877099620879,"(0.0003533926237184737, -0.002743117830452335, -0.0003570435358991042)",0.0013906681171018676,0.36803276033974036
1.7119956016540527,7.436120275845087,1.810450294235483,0.3000991299218972,"(0.01648340847081542, 0.005596695497886495, -0.000426224387994778)",0.03537653038062344,0.22530008470296858
1.1205990314483643,9.160031573476008,1.2368180089094505,0.01589769475437368,"(-9.39919393183608e-06, 3.50717970604153e-05, 4.7774803755062933e-05)",0.0004036284302415538,5.722040579169284
1.0399696826934814,4.731242993580851,12.83249321306673,0.6222632620656439,"(0.015448082477169667, 0.006093630361242275, -0.0007857033780899192)",0.0039046799296178075,0.4897028656310575
2.2718992233276367,3.5746922627562228,7.0233645928849375,0.9478910909823798,"(0.031696701380596326, 0.021972500416556878, -0.008725838594241475)",0.014333174981104438,0.3211962619468362
0.8961389064788818,9.234936149597372,2.269586593170753,0.21076395609395587,"(0.008860794927277316, 0.002427633529370252, -1.2062568768511639e-05)",0.01760525279070732,0.2998080325686446
0.8804287910461426,0.8253451426345855,2.229694322439252,0.027490704436063818,"(-0.0005651843642041354, 0.00036974858180019443, -8.235611643309104e-05)",0.0008104076239005553,0.5319485953993319
1.1355929374694824,4.567670451075599,16.750788796037,1.164844862470676,"(0.029859757831678768, 0.013063309580834653, -0.0016319238865580288)",0.017811187143790402,0.46707868265592856
2.3362767696380615,6.189284787416541,12.608677957604845,1.2597057671069607,"(0.07262445235510159, 0.022398331089626633, -0.0016487571298761106)",0.030919855161149756,0.21661675905832062
1.1199204921722412,8.29295610253706,2.28994834154757,0.29744572176348183,"(0.013729743508102132, 0.008887836703076968, -0.0008671648012422706)",0.030462451651735528,0.23767452298463074
1.12013840675354,3.3532420114109645,2.7563707401621573,0.08817566322756672,"(-0.00113734230814444, -0.0020949841049668905, -0.0003428186518416587)",0.0025667806149118344,0.4834094947744503
1.7281973361968994,6.876070457670013,1.7591564863092783,0.28476992743401003,"(0.015867247579343324, 0.01119221999359965, -0.0016493837041018922)",0.029477800310793834,0.1916635325396353
1.1194627285003662,6.5768195306508535,1.148382768010213,0.014638098446456336,"(6.719974427782383e-05, 0.00010860059365924712, -9.852463565385161e-06)",0.0003102000705835217,1.497943651267565
1.0396614074707031,5.634488690773247,12.620329660957832,0.7583809242250479,"(0.010620545816848459, 0.011713358491768466, 0.0014530460527540923)",0.0049639176244598016,0.626837345268037
2.2708661556243896,3.9853576655090452,5.67537369510693,1.0374973396665035,"(0.021256216408538142, 0.042028248182958916, -0.014320352155804128)",0.022922957425023704,0.2878876230058989
0.8961844444274902,6.854618320984631,2.6965260456872455,0.17356276038978208,"(0.005560474572698482, 0.0038777085870613792, -8.584501518499321e-05)",0.013235695830507599,0.3345986499630313
0.8799147605895996,0.3915609905140853,1.8065173696205392,0.007303591791770868,"(-0.0004186031663923062, -1.4919419446193447e-05, -6.230140314206212e-05)",8.8892401119256e-05,0.227873965647582
1.1356511116027832,4.9989651090182665,17.276681026975535,1.1443551382671924,"(0.025513231827658966, 0.018162701412223245, -0.0017940921008038901)",0.009006608002314564,0.4775348314239495
2.3358266353607178,3.034734111370767,11.372068217346076,1.416709442837422,"(0.06581474390475371, 0.051535644211237186, -0.009480026014489773)",0.031695901682915584,0.22149104417825927
1.1194758415222168,8.749751670961736,2.77907839942337,0.2378833004207211,"(0.007718949267942976, 0.01164262609796135, -0.00011563482137849634)",0.02599784517070175,0.22255383032967643
1.1202661991119385,3.063428050995938,1.7657352110360345,0.17579645738142238,"(-0.0005742254884666953, -0.002330029604785455, -0.0004288661421399387)",0.001286640354121349,0.9573737905888858
