1690143168.1482067 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1690143168.1689842 asterix_body -9.462326166896549 272.55811082586649 5001.7611983789047 -0.8056894274977473 0.095024196234233388 -0.071941263241311462 0.58022358034781263 asterix_bogie -195.63956324942691 299.3664335632667 5367.1810721870306 -0.55604333619975366 -0.47880045161085449 0.043867303904018939 0.67796872748916825
1690143168.1886473 asterix_body -9.4677725163969146 272.55783077461246 5001.7584256046439 -0.80568719468749916 0.095097979777335306 -0.07197212253673084 0.58021076527104798 asterix_bogie -195.61140795945681 299.32582723617639 5367.1455249328892 -0.55579294410654323 -0.47901091531924878 0.043883181752770159 0.67802434517180121
1690143168.2100286 asterix_body -9.4679185484815971 272.55068206475198 5001.7593750754413 -0.80571195069673696 0.095060414858295333 -0.071956914208465936 0.58018442975404227 asterix_bogie -195.62565815925649 299.33653321748307 5367.1590440414939 -0.55609487293215287 -0.47896033885429962 0.043933275355605678 0.67780923084572697
1690143168.2288749 asterix_body -9.4629653265189582 272.56514717527278 5001.7828390927534 -0.80568891385647767 0.095005510818764793 -0.071940921550845249 0.58022739577621618 asterix_bogie -195.60900629818036 299.3237558663327 5367.1586168196836 -0.55600972861818732 -0.47876382295927677 0.04391107584788044 0.67801932194092351
1690143168.2490172 asterix_body -9.4692754758338591 272.55738634152033 5001.7954483597823 -0.80568642025382775 0.095114008957305304 -0.071953658427111572 0.58021150329651061 asterix_bogie -195.61782737070439 299.3543009326815 5367.1826449400232 -0.55606226709595685 -0.47885747343242868 0.043954541123693548 0.67790727504919235
1690143168.2691007 asterix_body -9.4640176534319291 272.55935926080235 5001.7853418878494 -0.80569837783860643 0.095067587553392188 -0.071962673842457511 0.58020138858715298 asterix_bogie -195.60270727581783 299.32474456990457 5367.168350414684 -0.55572676118679931 -0.47891982253257132 0.043848691620032777 0.67814516346385001
1690143168.2907639 asterix_body -9.462939402666791 272.5671033185331 5001.789054660363 -0.80569289219196349 0.09503361207996891 -0.071941827213174409 0.58021715722961242 asterix_bogie -195.60052252749855 299.320637563677 5367.1736850735188 -0.55576033602276431 -0.4788927586363797 0.043860405921231277 0.67813600363196114
1690143168.3093615 asterix_body -9.4713155451455666 272.56608288916749 5001.786839753584 -0.80568041098450716 0.095059159083986947 -0.071927140783744056 0.58023212428196036 asterix_bogie -195.62519338345066 299.35702520257172 5367.1988070579209 -0.55580982993092931 -0.4789406402980147 0.043805819496159949 0.67806514893581504
1690143168.3294694 asterix_body -9.4741079518058786 272.56118799233928 5001.7785349001215 -0.80569711313762993 0.095050085959190359 -0.071937563837643076 0.5802091260484834 asterix_bogie -195.61706583758584 299.32900359371638 5367.1800803105589 -0.555833099594783 -0.47902237824227828 0.043886411296853618 0.67798311884696005
1690143168.349649 asterix_body -9.4652883086825526 272.55111177867434 5001.7724964165391 -0.80571364160888492 0.095028820046547405 -0.071952011888907749 0.58018786532557609 asterix_bogie -195.62027828899247 299.33919228172954 5367.1700194466785 -0.5558591119850792 -0.47895770724501191 0.043899210010965833 0.67800665310465336
1690143168.3698313 asterix_body -9.4740812517731925 272.5638864021185 5001.7824150446932 -0.8057009468025077 0.095088994735025051 -0.071985982043150806 0.58019142168004179 asterix_bogie -195.62108670485884 299.34884965140839 5367.1585072350936 -0.55557017375725726 -0.47892090857236946 0.043795940029236223 0.6782760949646558
1690143168.3913043 asterix_body -9.4543041880030376 272.54854021918197 5001.767283142015 -0.80571646966893218 0.095054691666739133 -0.071942613749914536 0.58018086526806834 asterix_bogie -195.61967407573869 299.36413554307285 5367.1719873398406 -0.5557120385742701 -0.47900203597203012 0.043877186550554566 0.67809731766073733
1690143168.4127142 asterix_body -9.4593878212910081 272.55357291232423 5001.7690231651159 -0.80569380167639182 0.095070757460766556 -0.071924883461994091 0.58021190969770498 asterix_bogie -195.6069978005859 299.3168242948463 5367.1657371368137 -0.55599241155253709 -0.47875960061136591 0.043836411757569103 0.67804133511362008
1690143168.4321358 asterix_body -9.4655461463847814 272.5521843219056 5001.7756577887458 -0.80570612938344432 0.095031745661146222 -0.071920879331586127 0.58020167830394564 asterix_bogie -195.62030244932851 299.33583000782136 5367.1883329544398 -0.55618393658439247 -0.47890033834110396 0.043982399739087047 0.67777536332877719
1690143168.4504831 asterix_body -9.4711599932465127 272.54923128944358 5001.7566946083325 -0.80569559461224505 0.095078764208566965 -0.071952158310479741 0.58020472622468044 asterix_bogie -195.61009783699387 299.30774286504402 5367.1487818975211 -0.55562231648016458 -0.47900756626401653 0.043847205266002311 0.67816886944285537
1690143168.4708474 asterix_body -9.4604227840548294 272.53801195702817 5001.7724528043318 -0.80573263069864809 0.095059334018489969 -0.071979673634687047 0.58015306379165243 asterix_bogie -195.61443796963633 299.31996610511032 5367.1564045168961 -0.55585738782287708 -0.47887885983948747 0.043896166867606112 0.67806395608076053
1690143168.492398 asterix_body -9.4703911722252734 272.54891560437352 5001.7662118947464 -0.80571131810575258 0.09507701097950734 -0.071962081738475153 0.58018194788476374 asterix_bogie -195.61803252278148 299.33465225943559 5367.1779047464543 -0.55628975662280167 -0.47876364675652427 0.043913414117561153 0.67778956120722145
1690143168.5107667 asterix_body -9.4649834566997342 272.55459305019008 5001.7672145682718 -0.80569291306321889 0.095061974821213022 -0.071908999562084561 0.58021655143987039 asterix_bogie -195.63816712973573 299.3552102671141 5367.1957179534484 -0.55634759713519499 -0.47881820214286952 0.043952504177500941 0.67770100917372977
1690143168.5308986 asterix_body -9.47173123435938 272.54011977449562 5001.7682499694392 -0.80568533526420316 0.095151176924910388 -0.071988587193409739 0.58020258305518579 asterix_bogie -195.63188052719659 299.34964123656562 5367.1821383534352 -0.55625077246481669 -0.47872235565712956 0.043896724210301732 0.67785179938537332
1690143168.5510972 asterix_body -9.461245836517195 272.53917982853477 5001.7687066562848 -0.80569433644383637 0.095082158419512647 -0.071995124946483149 0.58020058717356815 asterix_bogie -195.61702620542735 299.32962500930887 5367.1524241065363 -0.55576250509288017 -0.47891100227046657 0.043876511614237765 0.67812030021652447
1690143168.5710311 asterix_body -9.4570199657460172 272.53806789610172 5001.7563333066182 -0.80569222555236075 0.095091381412106546 -0.071967579151584499 0.5802054243254553 asterix_bogie -195.63702994080765 299.36636707978818 5367.1749675740866 -0.55577811940359512 -0.47894527812105897 0.043863021536385209 0.67808416726793097
1690143168.5912552 asterix_body -9.4577029245336632 272.55138644579642 5001.7615113551756 -0.80566300874248653 0.095086949683411068 -0.071922308304803159 0.58025233296559653 asterix_bogie -195.62318066687092 299.33727395110566 5367.15695927861 -0.55571095699861073 -0.47892305130132085 0.043840264793769762 0.67815637900614989
1690143168.6116087 asterix_body -9.4636398752753106 272.53957438003118 5001.7529530281854 -0.80566339563691647 0.095100835115478524 -0.071943480636347951 0.58024689545490848 asterix_bogie -195.61786381255993 299.32564020632259 5367.1518905068306 -0.55575178912496936 -0.47892171436015973 0.043874848400882079 0.6781216248406482
1690143168.6314073 asterix_body -9.4598241406033523 272.5347383082908 5001.7604428866971 -0.80568275303328585 0.095098773381060167 -0.071978730760425491 0.58021598313407519 asterix_bogie -195.60080944396455 299.30517396506485 5367.1477951238439 -0.55589299143492343 -0.47886662874349045 0.043854257739826964 0.67804611792079827
1690143168.6515858 asterix_body -9.4626195682924248 272.53836452695447 5001.7589942480326 -0.80568301090173711 0.095083914164665329 -0.071971565565330894 0.58021894915756855 asterix_bogie -195.6144350236375 299.32035780441987 5367.15824609632 -0.55598544268979655 -0.47894139508773498 0.043914438874164324 0.67791360042914939
1690143168.6718633 asterix_body -9.4629094115252403 272.53423918109144 5001.7541014236795 -0.80570047025696789 0.095097142012578989 -0.072002000123176979 0.58018876047972734 asterix_bogie -195.61666289481383 299.32675085925689 5367.1626398725111 -0.55587950920771023 -0.47893033529283913 0.043893471949095465 0.67800963732054575
1690143168.6917737 asterix_body -9.4605840437258788 272.55276218651716 5001.7713401404881 -0.80569483286460364 0.095059967411555576 -0.072013522207746636 0.58020125086923668 asterix_bogie -195.60288177813348 299.31707168891671 5367.1416485666787 -0.5558668598608254 -0.47889195535005807 0.043905735062022645 0.67804632263446951
1690143168.7118778 asterix_body -9.4651184302391478 272.55721322890901 5001.7674109162699 -0.80569222459995227 0.095025382603392619 -0.071922093676275611 0.58022187852706852 asterix_bogie -195.6274667611255 299.33642090716074 5367.170210481293 -0.55602618238215085 -0.4789406261506276 0.043899294670494519 0.67788171022340549
1690143168.7320104 asterix_body -9.4613765123790401 272.53926976334316 5001.7588866720598 -0.8057099556493984 0.095046704307648611 -0.07195431150382002 0.58018976932009947 asterix_bogie -195.60792870547496 299.29987427895861 5367.1390463590287 -0.55578643092541324 -0.47888475263696029 0.043818754632289812 0.67812296350551604
