1691279918.1620388 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1691279919.6058714 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0188051089299 197.91956969797531 342.0139679975062 0.00050414643797796024 0.025898176997279164 -0.067124994982699762 0.99740827413510025
1691279919.6264451 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1942.9958211530745 197.93381476329265 342.01464350716964 0.00058122789346103326 0.025831568777121172 -0.067081198668981989 0.99741290597915433
1691279919.6468744 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0229299311293 197.9368849131757 342.03124363922115 0.00058537575963096106 0.025862087875833894 -0.06706148096152896 0.99741343860866905
1691279919.6674161 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0624876448105 197.92459569903315 342.04061154903576 0.00062140459067167031 0.025876227030386272 -0.06704334520451849 0.99741426929575983
1691279919.6878982 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1109838618368 197.91069317667112 342.07584949262252 0.00046410870508363917 0.02592976811511365 -0.067117816507404421 0.9974079558715605
1691279919.707453 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0399616424108 197.92304699194293 342.03141561333706 0.00054893717587618459 0.025954551766460953 -0.067110785033867026 0.99740774131882359
1691279919.7284608 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0484478854694 197.92278718797445 342.05123907412076 0.00054175429654904647 0.025912939530802169 -0.067067989477787485 0.99741170579383243
1691279919.7491326 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1276213762706 197.92199027112756 342.07630105418349 0.00059299574542201331 0.025888660914282612 -0.067041243668951256 0.9974141051937413
1691279919.7686698 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1050914674765 197.92530108328202 342.06824413938739 0.00058610069149646771 0.025955752068969096 -0.067076735888819794 0.99740997935804476
1691279919.7898045 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.365367160683 197.90002879430162 342.28886360009488 0.0010132744384869132 0.025612999503516067 -0.066900468091902573 0.99743033586332708
1691279919.8102138 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0967996455893 197.91776671750404 342.07880718155684 0.00064312215672063472 0.025841812940298563 -0.067047022456600838 0.99741490056924376
1691279919.8302555 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0917757133327 197.91335726223579 342.04198122143958 0.00059467413869881719 0.025945002022909783 -0.067073706568216443 0.99741045769527648
1691279919.8512952 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.07713577101 197.91678096038081 342.03564325341091 0.00064816103883932473 0.025875143574389456 -0.067012602971746424 0.99741634630440246
1691279919.8718445 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0967131812226 197.91748168441228 342.06827856916129 0.00051727868645885615 0.025913952229462679 -0.067132159883340467 0.99740737545498792
1691279919.892339 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0823568543165 197.93126995614213 342.05058751826908 0.0006274900805312147 0.025885646282832606 -0.067026951874251312 0.99741512285264944
1691279919.9128087 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0970645823277 197.92347205099432 342.04685062408765 0.00056735973427685213 0.025913834301526387 -0.06708119802577181 0.99741078005310946
1691279919.933383 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.110980600758 197.91649497594818 342.0435026942547 0.00057223136774590684 0.025960089684549121 -0.067072929581500199 0.99741013049406468
1691279919.953999 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1143070796318 197.91596461645383 342.0589638721126 0.00062826776745669363 0.025894265762408324 -0.067007387366848775 0.9974162131820935
1691279919.9741342 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1008970596145 197.91390082149866 342.0524283141832 0.00055675775976080327 0.025855097191140805 -0.067101164744845412 0.99741096728475909
1691279919.9945662 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0708594819409 197.92151652060886 342.03876348073084 0.0005872656702241184 0.025855367974574356 -0.067053283380063181 0.99741416285005946
1691279920.015044 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0763548605769 197.9305747078424 342.04432743356637 0.00065825987441497924 0.025895693248614116 -0.067037386906035515 0.99741414092738934
1691279920.0346851 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0397853258019 197.92700586858754 342.00349508562664 0.00061905547004944845 0.025870201307750858 -0.067023655159796566 0.99741575037876873
1691279920.0557423 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0680923240964 197.91377417036827 342.02615497064585 0.00048233426731634778 0.025880330958508904 -0.067133885735042378 0.99740814976079228
1691279920.0760503 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0681152558473 197.91563285369978 342.0459288997319 0.00064424220934168261 0.025930804931297846 -0.06705183480852836 0.99741226669637495
