time,wheel1_vel,wheel1_cur,wheel1_vol,wheel1_pos,wheel1_temp,wheel1_pwm,wheel2_vel,wheel2_cur,wheel2_vol,wheel2_pos,wheel2_temp,wheel2_pwm,wheel3_vel,wheel3_cur,wheel3_vol,wheel3_pos,wheel3_temp,wheel3_pwm,wheel4_vel,wheel4_cur,wheel4_vol,wheel4_pos,wheel4_temp,wheel4_pwm,hebi_steer_acc_x,hebi_steer_acc_y,hebi_steer_acc_z,hebi_steer_gyro_x,hebi_steer_gyro_y,hebi_steer_gyro_z,hebi_steer_pos_desired,hebi_steer_pos,hebi_steer_vel_desired,hebi_steer_vel,hebi_steer_eff,hebi_steer_cur_motor,hebi_steer_cur_motor_winding,hebi_steer_vol,hebi_steer_temp_board,hebi_steer_temp_motor_winding,hebi_steer_pwm,hebi_bogie_acc_x,hebi_bogie_acc_y,hebi_bogie_acc_z,hebi_bogie_gyro_x,hebi_bogie_gyro_y,hebi_bogie_gyro_z,hebi_bogie_pos_desired,hebi_bogie_pos,hebi_bogie_vel_desired,hebi_bogie_vel,hebi_bogie_eff,hebi_bogie_cur_motor,hebi_bogie_cur_motor_winding,hebi_bogie_vol,hebi_bogie_temp_board,hebi_bogie_temp_motor_winding,hebi_bogie_pwm,in_transition,gait_name
1691202645.4588816,0.0,-121.05,11.9,80.142578125,34,-2.599,-0.0,-75.32,11.9,86.077392578125,35,1.808,0.0,239.41,11.9,82.815673828125,36,4.5200000000000005,-0.0,16.14,12.0,84.255859375,33,-0.791,0.5286033153533936,0.41302961111068726,9.821561813354492,-0.00028959126211702824,-0.0009455359540879726,0.0005962252034805715,-0.027039436623454094,-0.027062762528657913,-0.0,-0.013855766505002975,-0.0030698541086167097,0.0036478042602539062,0.008734368719160557,48.12230682373047,42.805999755859375,32.62139129638672,-0.0019047618843615055,-9.63120174407959,0.4219527244567871,-0.18005022406578064,0.0007540893857367337,-9.209584823111072e-05,-0.0006743936100974679,-0.04121476784348488,-0.04125863710512334,0.0,-0.003170087467879057,0.021557264029979706,0.014691352844238281,-0.11046157032251358,48.247901916503906,40.235618591308594,32.85392761230469,-0.015714285895228386,0.0,STARTUP
1691202645.494038,0.0,-121.05,11.9,80.142578125,34,-2.599,-0.0,-75.32,11.9,86.077392578125,34,1.808,0.0,239.41,11.9,82.815673828125,36,4.5200000000000005,-0.0,16.14,12.0,84.256103515625,33,-0.791,0.5233490467071533,0.426636278629303,9.816729545593262,0.004026670940220356,-0.0009136123117059469,-0.00018820507102645934,-0.027721337974071503,-0.026978813111782074,-0.04225180298089981,0.023204445838928223,-0.015716299414634705,0.0036478042602539062,-0.07970038056373596,48.12230682373047,42.796817779541016,32.624046325683594,-0.014761905185878277,-9.629352569580078,0.41380569338798523,-0.18680033087730408,0.0003936817520298064,0.00019918952602893114,0.010010677389800549,-0.041128888726234436,-0.04147512117494756,0.005321321077644825,0.020555317401885986,0.007185497786849737,0.007367134094238281,0.03171638399362564,48.247901916503906,40.235618591308594,32.856040954589844,0.016428571194410324,0.0,STARTUP
1691202645.525718,0.0,-123.74,11.9,80.142578125,34,-2.599,-0.0,-5.38,11.9,86.077392578125,34,0.5650000000000001,0.0,303.96999999999997,11.9,82.815673828125,36,5.763,-0.0,16.14,12.0,84.255859375,33,-0.791,0.5376266241073608,0.5099093914031982,9.8117094039917,0.0003297358052805066,0.0013309927890077233,0.006989093963056803,-0.029708463698625565,-0.027666330337524414,-0.08359123766422272,-0.04085423797369003,-0.07160583883523941,0.007309913635253906,-0.08005105704069138,48.12230682373047,42.805999755859375,32.65199661254883,-0.019285714253783226,-9.635173797607422,0.39250221848487854,-0.170379638671875,0.006003798451274633,6.0961632698308676e-05,0.001617889036424458,-0.040878623723983765,-0.041578118001119435,0.010527735576033592,-0.00013680942356586456,0.017034417018294334,0.011029243469238281,0.04045267775654793,48.23240661621094,40.235618591308594,32.85647964477539,0.015714285895228386,0.0,STARTUP
1691202645.5578916,0.0,-121.05,11.9,80.142578125,34,-2.599,-0.0,-2.69,11.9,86.077392578125,35,-1.243,0.0,390.05,11.9,82.815673828125,37,7.458,-0.0,16.14,12.0,84.255859375,33,-0.791,0.5119705200195312,0.40722477436065674,9.810993194580078,-0.003622096963226795,0.0015374195063486695,0.01845967024564743,-0.033053088933229446,-0.028756678104400635,-0.12547390162944794,-0.03235213831067085,-0.12383562326431274,0.032944679260253906,-0.28729525208473206,48.10689926147461,42.796817779541016,32.715614318847656,-0.06738094985485077,-9.645781517028809,0.30498814582824707,-0.1963702142238617,0.01782788150012493,0.00045650621177628636,-0.0012805028818547726,-0.04045739024877548,-0.04154569307436162,0.015802565962076187,0.010153135284781456,0.03143135830760002,0.014691352844238281,0.11588741838932037,48.23240661621094,40.24785614013672,32.866004943847656,0.016428571194410324,0.0,STARTUP
1691202645.5902724,0.0,-121.05,11.9,80.142578125,34,-2.599,0.023980823922402087,-0.0,11.9,86.077880859375,34,-3.39,0.0,411.57,11.9,82.81591796875,37,9.831,-0.0,16.14,12.0,84.255859375,33,-0.904,0.2754264771938324,0.7160892486572266,9.73615837097168,-0.004138578195124865,-6.164581282064319e-05,0.04299468919634819,-0.037794601172208786,-0.030903484672307968,-0.16780032217502594,-0.10561028122901917,-0.19357582926750183,0.062241554260253906,-0.4736195206642151,48.091487884521484,42.796817779541016,32.84142303466797,-0.1275455504655838,-9.601679801940918,0.37244340777397156,-0.42635592818260193,0.03918324410915375,0.008973265066742897,0.0025983424857258797,-0.039860229939222336,-0.041521851216451466,0.021133285015821457,-0.022501593455672264,0.05097198486328125,0.02201557159423828,0.1584681272506714,48.216915130615234,40.22949981689453,32.87664794921875,0.018809523433446884,0.0,STARTUP
1691202645.621627,0.0,-121.05,11.9,80.142578125,34,-2.599,0.09592329568960835,-0.0,11.9,86.079345703125,34,-5.311,0.07194247176720626,419.64,11.9,82.817138671875,36,12.091000000000001,-0.0,34.97,12.0,84.255859375,33,-1.1300000000000001,0.11091539263725281,0.5316696166992188,9.792253494262695,-0.006479491945356131,0.006346839480102062,0.09390965104103088,-0.04376675561070442,-0.03625347837805748,-0.20926541090011597,-0.1934364140033722,-0.21167320013046265,0.1464700698852539,-0.8238131403923035,48.076080322265625,42.81517791748047,33.00250244140625,-0.2057877779006958,-9.681045532226562,0.194850891828537,-0.5486621260643005,0.09461548179388046,-0.0009708575671538711,-0.005121294409036636,-0.03910807892680168,-0.04125863710512334,0.026355525478720665,-0.0018965121125802398,0.08619421720504761,0.014691352844238281,0.12906010448932648,48.216915130615234,40.22031784057617,32.887081146240234,0.022857142612338066,0.0,STARTUP
1691202645.6537988,0.0,-121.05,11.9,80.142578125,33,-2.599,0.21582741530161878,-10.76,11.9,86.081298828125,34,-6.78,0.1678657674568146,390.05,11.9,82.81884765625,36,14.012,-0.0,51.11,12.0,84.255859375,33,-1.356,0.17733004689216614,0.16021765768527985,9.82965087890625,-0.00970069132745266,0.007028141990303993,0.1267530620098114,-0.05114124342799187,-0.04378088563680649,-0.2511938810348511,-0.21605807542800903,-0.22876226902008057,0.2306985855102539,-0.9075437784194946,48.04526138305664,42.796817779541016,33.22965621948242,-0.23687030375003815,-9.672150611877441,0.23220261931419373,-0.3998095393180847,0.12035156786441803,0.0010984567925333977,-0.00886872224509716,-0.03817931190133095,-0.040980164204732716,0.03163612633943558,-0.02594991959631443,0.12029723078012466,0.01835346221923828,0.14586330950260162,48.201419830322266,40.22949981689453,32.89863967895508,0.028809523209929466,0.0,STARTUP
1691202645.6855738,0.0,-118.36,11.9,80.142578125,33,-2.599,0.3597123588360313,-13.45,11.9,86.083740234375,34,-8.023,0.31175071099122714,344.32,11.8,82.821044921875,36,15.481,-0.0,61.87,12.0,84.255859375,33,-1.582,0.36202529072761536,0.8047934770584106,9.421984672546387,-0.01579999551177025,0.009335668757557869,0.13803839683532715,-0.05947323888540268,-0.05520841106772423,-0.2617993950843811,-0.31592145562171936,-0.2801327109336853,0.043931007385253906,-0.3046761155128479,48.10689926147461,42.809059143066406,33.652862548828125,-0.1232583075761795,-9.699454307556152,0.3525693416595459,-0.3653201460838318,0.1464252918958664,0.014642651192843914,-0.015143387950956821,-0.037082917988300323,-0.04046804109682256,0.03690996766090393,0.007889274507761002,0.15008799731731415,0.02567768096923828,0.2258760631084442,48.170433044433594,40.238677978515625,32.91606521606445,0.04571428522467613,0.0,STARTUP
1691202645.7177265,0.0,-121.05,11.9,80.142578125,33,-2.599,0.45563565452563964,-18.83,11.9,86.08642578125,34,-8.475,0.43165483060323756,325.49,11.8,82.82373046875,36,15.933,-0.0,72.63,12.0,84.255859375,33,-1.921,0.31705692410469055,0.41077595949172974,9.469947814941406,-0.017628081142902374,0.009568805806338787,0.14964774250984192,-0.06785605847835541,-0.06449249386787415,-0.2617993950843811,-0.2977087199687958,-0.23043213784694672,0.0952005386352539,-0.6150407195091248,48.10689926147461,42.82435607910156,33.96940612792969,-0.1521972119808197,-9.650214195251465,-0.049795374274253845,-0.15364521741867065,0.15590134263038635,-0.0003644060343503952,-0.0215168334543705,-0.03581654652953148,-0.039492432271138966,0.04218875616788864,0.05959903076291084,0.20793479681015015,0.01835346221923828,0.12656545639038086,48.23240661621094,40.241737365722656,32.947235107421875,0.04452380910515785,0.0,STARTUP
1691202645.7496746,0.0,-123.74,11.9,80.142578125,33,-2.599,0.5035973023704439,-18.83,11.9,86.08935546875,34,-8.475,0.5035973023704439,287.83,11.9,82.82666015625,36,16.159,-0.0,96.84,12.0,84.255859375,33,-2.2600000000000002,0.3623579442501068,0.26589107513427734,9.447178840637207,-0.020779632031917572,0.012698051519691944,0.14830820262432098,-0.07622630894184113,-0.07430782169103622,-0.2617993950843811,-0.2723768949508667,-0.2018105387687683,0.0952005386352539,-0.5873135328292847,48.076080322265625,42.79987716674805,34.21798324584961,-0.17148981988430023,-9.694197654724121,0.033239997923374176,-0.14570516347885132,0.15390193462371826,0.007339339703321457,-0.02041620947420597,-0.03438342735171318,-0.03784829774965459,0.04745962843298912,0.05326174199581146,0.2316398173570633,0.02201557159423828,0.12292488664388657,48.216915130615234,40.22949981689453,32.96738815307617,0.041904762387275696,0.0,STARTUP
