1691281910.3582177 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1691281910.3785028 asterix_back -1567.1875012792088 -187.20933766363208 182.97464703552859 -0.03082260897311621 -0.014608247955417927 -0.086218385278298448 0.99569219938079578 asterix_front -1155.841935427854 -265.93577761285104 323.3863112722704 -0.023733114947001411 0.018835338780363198 -0.10992350722213391 0.99347812851009809
1691281910.3989131 asterix_back -1567.148757178812 -187.23723485765544 182.95778968658061 -0.03097621679433395 -0.015248380576346303 -0.086344264769960863 0.99566692664979306 asterix_front -1155.9136684478067 -265.93039985036972 323.40980662474044 -0.023640588868628468 0.018874204272358273 -0.11000605778731251 0.99347045966204972
1691281910.4184535 asterix_back -1567.2838769145224 -187.1762954677516 183.02569693120256 -0.0308573548940618 -0.014269427460268375 -0.086526878187882933 0.99566927563320817 asterix_front -1155.9092608458175 -265.92490185406126 323.41454608351472 -0.023643810014057121 0.018841305980007939 -0.10994848437479393 0.99347738082991732
1691281910.4395692 asterix_back -1567.2101049167397 -187.17940709259145 183.00182836017817 -0.030837163465083754 -0.014665067629841792 -0.086431486783657238 0.99567243771895508 asterix_front -1155.8680285794651 -265.93945632484713 323.41124868337022 -0.023625951438544134 0.018867305559178673 -0.10994646710303285 0.99347753551407592
1691281910.4590988 asterix_back -1567.1367624982111 -187.21299668712547 182.96700924803943 -0.030922906527544879 -0.015183779655033276 -0.086358488312880344 0.99566833744153493 asterix_front -1155.8687160744182 -265.9287836741326 323.41792595688776 -0.023679314353580783 0.018897982412038418 -0.10990276530480173 0.99348051742893095
1691281910.4802747 asterix_back -1567.0451348422598 -187.21392798967199 182.94067511816957 -0.031032957311463077 -0.015961105943335639 -0.086341638334332671 0.99565421715940816 asterix_front -1155.8863680582433 -265.92320885497179 323.41265975650589 -0.023665957147279454 0.018793675365028233 -0.11002011053491224 0.99346982617312685
1691281910.500931 asterix_back -1567.2288532581224 -187.21153344949761 183.02620809271272 -0.030988451519760086 -0.01491386233689238 -0.086364753401905761 0.99566983581528257 asterix_front -1155.8744879927799 -265.93216010516835 323.41566308706206 -0.023734765380526605 0.018778652599893055 -0.1099333787512287 0.99347806989143095
1691281910.520319 asterix_back -1567.1340707800587 -187.22075624579276 183.00037496738702 -0.031044860125742917 -0.015261634996123305 -0.08630037854513177 0.99566839048951694 asterix_front -1155.8841004746873 -265.91315552383907 323.41870364843385 -0.023657357170923154 0.018870446000711919 -0.10988582539007156 0.99348343775714965
1691281910.5414472 asterix_back -1567.1023735566241 -187.21740860904342 182.96618277552949 -0.031009833208274742 -0.015331076616621071 -0.086289234500706039 0.9956693810414442 asterix_front -1155.8894763782785 -265.90642966265131 323.41298872799092 -0.023699108393757041 0.018768213648639606 -0.10993849195547976 0.99347855256383621
1691281910.5620348 asterix_back -1567.1419215875378 -187.20867107895157 182.97100001459648 -0.030920240378275544 -0.014915800494003989 -0.08621128333171009 0.99568522749756228 asterix_front -1155.840108962173 -265.93064245546151 323.41747970937348 -0.023629684072617181 0.018775220890282454 -0.11000777369974832 0.99347240466797793
1691281910.5814319 asterix_back -1567.2083520811809 -187.21110851545032 183.02149593816478 -0.030937375169956358 -0.014942239467507341 -0.086381222020131807 0.99566957007814483 asterix_front -1155.8723957717468 -265.92872309648163 323.42932975760931 -0.023616852571831021 0.018923613346794196 -0.10999029408457868 0.99347182966588909
1691281910.602258 asterix_back -1567.2191086062321 -187.2013739557058 183.01379825576254 -0.030850351881496995 -0.014730811176837671 -0.086243117845222941 0.99568739251594185 asterix_front -1155.8645778059886 -265.9287274836347 323.41736729052991 -0.023643905327303472 0.018936780259977224 -0.10987341443990534 0.99348386846167547
