1690144380.5010929 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1690144380.5215707 asterix_body -39.492981123999698 289.74911252845106 5055.6956596490427 -0.80687202431141491 0.13315726934511249 -0.04505476055413779 0.57375669630563975 asterix_bogie -211.58139788253493 315.93178294629234 5429.2715797195033 -0.55477733289536924 -0.47807116119289372 0.047010878263224969 0.67930851096250755
1690144380.5420344 asterix_body -39.495242503893714 289.74071897734518 5055.6429430570006 -0.80683730519180852 0.13320112940787862 -0.045044523429173519 0.57379614235747944 asterix_bogie -211.55697171769995 315.89363568180977 5429.2488053471006 -0.55443384031176479 -0.47823436981047718 0.046991782297528248 0.67947536868206349
1690144380.562125 asterix_body -39.510986950539547 289.74923116752848 5055.7194724094443 -0.80685875126786821 0.13318530011863497 -0.045037949993479091 0.57377017558875476 asterix_bogie -211.57617134008714 315.90134813998014 5429.272843352891 -0.55467198575150867 -0.47809961023366426 0.047020438526218865 0.67937385089337876
1690144380.5821939 asterix_body -39.492154323649622 289.72117267406816 5055.7372089895753 -0.80685301117539787 0.13319420284802852 -0.045094148546376167 0.57377176686531806 asterix_bogie -211.5672524004508 315.87432734229043 5429.2672977023421 -0.55437269728162386 -0.47825228152723492 0.047051324320470822 0.67950852871938361
1690144380.6024735 asterix_body -39.495786548703741 289.72871095047367 5055.7009764500463 -0.80684727601257877 0.13319159616604939 -0.045000505775822888 0.57378778863072877 asterix_bogie -211.56401318273399 315.86387014250687 5429.2531131579517 -0.55425547993003854 -0.47821323255070614 0.046986541982742359 0.67963610267070929
1690144380.6227195 asterix_body -39.501754727996065 289.7447320849372 5055.6585683066724 -0.8068449971352265 0.13314761530248348 -0.044993213416241219 0.57380177229039553 asterix_bogie -211.56763410325451 315.86462118891882 5429.2508471588253 -0.55446396047958046 -0.47816230187180003 0.047051446985984534 0.67949738110936453
1690144380.6431341 asterix_body -39.513792168361753 289.73899782376429 5055.6636608220451 -0.8068565514066901 0.1331796167054865 -0.045071690588728959 0.57377193888665978 asterix_bogie -211.58559828647927 315.90575718292052 5429.2746309860995 -0.5545399627417239 -0.47818721962694222 0.047034733122660558 0.67941897720621724
1690144380.6633754 asterix_body -39.517574943221874 289.73346550849703 5055.6663315205496 -0.80683781798366694 0.1331848454139786 -0.045054453362735107 0.57379842162173567 asterix_bogie -211.58232320607829 315.8745599630044 5429.2453842584446 -0.55430145754031834 -0.47819089014082916 0.04696590512372411 0.67961575210622471
1690144380.6836205 asterix_body -39.49480715695298 289.73469164543593 5055.6801585125895 -0.80683440440826826 0.13317678923934706 -0.045052535996498229 0.5738052419343499 asterix_bogie -211.59481528070768 315.88494985596259 5429.2617522775836 -0.55456151577287871 -0.47824527777869558 0.04701202310154997 0.67936208989754876
1690144380.704422 asterix_body -39.494419681555854 289.75105269754721 5055.680396786348 -0.80683337338489525 0.13310949020256913 -0.04495502026122232 0.57382995509443013 asterix_bogie -211.58037171565383 315.8777079143693 5429.2635074549162 -0.55467435889209638 -0.47819352928947889 0.047047135706600775 0.67930396079746147
1690144380.7238202 asterix_body -39.497778007697633 289.74951799791103 5055.7158405422788 -0.80686347596586327 0.13319327074647114 -0.045108880832767803 0.57375610903079488 asterix_bogie -211.59080762668674 315.8884040614999 5429.2841959898315 -0.55457976596125358 -0.47812954226789162 0.04699595648855677 0.67942976389821452
1690144380.7443326 asterix_body -39.497740219497075 289.73964242436364 5055.7310020619643 -0.80684253281445506 0.13316050571181545 -0.04503315879237086 0.5737991125553521 asterix_bogie -211.59316247351302 315.89105999361698 5429.3013455963328 -0.55488548889357414 -0.4781377325200814 0.04709599250918714 0.67916740973449907
1690144380.7648356 asterix_body -39.516247656958839 289.72566216536688 5055.7049811553543 -0.80684873661993395 0.13321843594158619 -0.04502091038903841 0.57377790317145894 asterix_bogie -211.5684723919176 315.86268751725976 5429.2769568347703 -0.55448856667717039 -0.47808746449132361 0.046954876831801877 0.67953664011756199
1690144380.7842667 asterix_body -39.511106554177033 289.72796842776717 5055.7024957375079 -0.80684996067496617 0.13320907029589549 -0.045073946728946247 0.57377419241020666 asterix_bogie -211.58430431492712 315.88624895201696 5429.2939169026122 -0.55494792958844819 -0.47799601282994553 0.046960477389189459 0.67922553009110953
1690144380.8053565 asterix_body -39.514801713801226 289.74910625916067 5055.7291716481914 -0.80683302422847458 0.13315181139000773 -0.044980455696363213 0.57381863401534927 asterix_bogie -211.58395676171278 315.89351167439708 5429.2788768441933 -0.55462383103912472 -0.47810252698988187 0.046961240551119388 0.67941520561087965
