time,wheel1_vel,wheel1_cur,wheel1_vol,wheel1_pos,wheel1_temp,wheel1_pwm,wheel2_vel,wheel2_cur,wheel2_vol,wheel2_pos,wheel2_temp,wheel2_pwm,wheel3_vel,wheel3_cur,wheel3_vol,wheel3_pos,wheel3_temp,wheel3_pwm,wheel4_vel,wheel4_cur,wheel4_vol,wheel4_pos,wheel4_temp,wheel4_pwm,hebi_steer_acc_x,hebi_steer_acc_y,hebi_steer_acc_z,hebi_steer_gyro_x,hebi_steer_gyro_y,hebi_steer_gyro_z,hebi_steer_pos_desired,hebi_steer_pos,hebi_steer_vel_desired,hebi_steer_vel,hebi_steer_eff,hebi_steer_cur_motor,hebi_steer_cur_motor_winding,hebi_steer_vol,hebi_steer_temp_board,hebi_steer_temp_motor_winding,hebi_steer_pwm,hebi_bogie_acc_x,hebi_bogie_acc_y,hebi_bogie_acc_z,hebi_bogie_gyro_x,hebi_bogie_gyro_y,hebi_bogie_gyro_z,hebi_bogie_pos_desired,hebi_bogie_pos,hebi_bogie_vel_desired,hebi_bogie_vel,hebi_bogie_eff,hebi_bogie_cur_motor,hebi_bogie_cur_motor_winding,hebi_bogie_vol,hebi_bogie_temp_board,hebi_bogie_temp_motor_winding,hebi_bogie_pwm,in_transition,gait_name
1690145246.668085,0.0,0.0,11.9,56.174072265625,41,0.0,-0.0,-0.0,12.0,56.886962890625,39,0.0,0.0,0.0,11.9,54.604248046875,41,0.0,-0.0,-0.0,12.0,57.361083984375,38,0.0,0.37939944863319397,0.13267911970615387,9.836288452148438,-0.00046388054033741355,-0.0005489293835125864,-0.00015539571177214384,-0.06020641699433327,-0.06019710749387741,-0.0-0.0010690391063690186-0.06845181435346603,0.032944679260253906,0.3026444613933563,48.091487884521484,47.031822204589844,37.002140045166016,0.06452380865812302,-9.626495361328125,0.1354335993528366,-0.22060847282409668,-0.0004132618778385222,-0.00016974932805169374,-0.0006261644884943962,-0.0011842886451631784,-0.0011671225177209976,0.0-0.0009645237587392330.005467426031827927,0.007367134094238281,-0.024631965905427933,48.216915130615234,44.648101806640625,38.258514404296875,-0.004047619178891182,0.0,LINEAR_WAYPOINT
1690145246.7027662,0.0,0.0,11.9,56.173828125,41,-0.113,-0.0,-0.0,12.0,56.886962890625,38,-0.226,0.0,0.0,11.9,54.604248046875,41,-0.113,-0.0,-0.0,12.0,57.361083984375,38,0.0,0.3708523213863373,0.07956711947917938,9.821249961853027,-0.004797839559614658,-0.0009302117396146059,-0.015365342609584332,-0.06084206700325012,-0.05988391488790512,-0.040793579071760180.022642156109213830.01291649043560028,0.029282569885253906,-0.3189566433429718,48.091487884521484,47.05018615722656,37.0518913269043,-0.05523809418082237,-9.64626407623291,0.0968257263302803,-0.21026647090911865,-0.011239978484809399,-0.0003191855503246188,0.004418714437633753,-0.0011819882784038782,-0.0013187567340295914,0.000147628685226663950.0066105918958783150.008073140867054462,0.011029243469238281,-0.04283793643116951,48.216915130615234,44.648101806640625,38.26018142700195,-0.0004761904710903764,0.0,LINEAR_WAYPOINT
1690145246.734883,0.0,0.0,11.9,56.173828125,40,-0.113,-0.0,-0.0,12.0,56.886962890625,39,-1.469,0.0,8.07,11.9,54.60400390625,41,1.1300000000000001,-0.0,-0.0,12.0,57.361083984375,38,0.0,0.3617592751979828,0.0158986896276474,9.816596984863281,0.003928326070308685,0.0008722685743123293,0.013971257954835892,-0.06281998008489609,-0.06023474782705307,-0.0827181339263916-0.01952940970659256-0.06004359573125839,0.025620460510253906,-0.3040931522846222,48.091487884521484,47.04712677001953,37.12644958496094,-0.0595238097012043,-9.626769065856934,0.08094823360443115,-0.21245595812797546,0.0123140849173069,-0.0003141783527098596,0.0008660522871650755,-0.0011748303659260273,-0.0014293829547327164,0.0002993502712342888-0.00145921390503644940.007529103197157383,0.007367134094238281,0.02677365392446518,48.216915130615234,44.6358642578125,38.26072311401367,0.0007142857066355646,0.0,LINEAR_WAYPOINT
1690145246.7665763,0.0,0.0,11.9,56.173828125,40,-0.113,-0.0,26.9,12.0,56.886962890625,39,-3.277,0.0,69.94,11.9,54.604248046875,41,2.938,-0.0,-0.0,12.0,57.361083984375,38,-0.226,0.34073343873023987,0.3340646028518677,9.81090259552002,-0.011778941377997398,-0.00045918673276901245,0.009768602438271046,-0.06613007187843323,-0.06065986305475235,-0.12453142553567886-0.041582535952329636-0.1700500249862671,0.047593116760253906,-0.32724764943122864,48.076080322265625,47.05018615722656,37.198974609375,-0.06642857193946838,-9.625758171081543,-0.03170737624168396,-0.24392756819725037,0.014590184204280376,0.009542022831737995,0.0028999438509345055,-0.0011628514621406794,-0.0014827887164514664,0.00045066920574754477-0.00338733382523059840.013656269758939743,0.011029243469238281,0.026773545891046524,48.216915130615234,44.66340255737305,38.26178741455078,-0.0030952380038797855,0.0,LINEAR_WAYPOINT
1690145246.798549,0.0,0.0,11.9,56.173828125,40,-0.113,0.023980823922402087,72.63,12.0,56.8876953125,39,-5.537,0.023980823922402087,115.67,11.9,54.604736328125,41,5.085,-0.0,-0.0,12.0,57.36083984375,38,-0.452,0.1780984103679657,0.49784621596336365,9.90896987915039,-0.0028727001044899225,-0.0004798548761755228,0.05302319675683975,-0.07078927755355835,-0.06339117139577866,-0.16645073890686035-0.12412644177675247-0.2377280741930008,0.054917335510253906,-0.4535812437534332,48.060672760009766,47.031822204589844,37.31410217285156,-0.12111468613147736,-9.653411865234375,-0.0029797330498695374,-0.3800709843635559,0.0528704933822155,0.008704635314643383,0.004211904015392065,-0.0011459900997579098,-0.0014913717852991226,0.00060237181605771180.01011330820620060.011995724402368069,0.011029243469238281,0.06211432069540024,48.216915130615234,44.657283782958984,38.26319885253906,0.010238095186650753,0.0,LINEAR_WAYPOINT
1690145246.83084,0.0,0.0,11.9,56.173583984375,40,0.0,0.09592329568960835,102.22,12.0,56.888916015625,38,-7.232,0.09592329568960835,126.42999999999999,11.9,54.605712890625,41,7.006,-0.0,18.83,12.0,57.36083984375,38,-0.904,0.16050192713737488,0.06762926280498505,9.875497817993164,0.00025361403822898865,0.0024093897081911564,0.08623643964529037,-0.07687059789896011,-0.06837104260921478,-0.20887009799480438-0.15191322565078735-0.26636090874671936,0.1537942886352539,-0.8172945976257324,48.02985382080078,47.031822204589844,37.44956970214844,-0.20257234573364258,-9.657569885253906,-0.022262610495090485,-0.37592974305152893,0.07428128272294998,0.005320591852068901,-0.001122461399063468,-0.0011239823652431369,-0.0015428701983850601,0.00075588410254567860.00523670855909585950.019639410078525543,0.011029243469238281,0.017129331827163696,48.201419830322266,44.64198303222656,38.26539993286133,0.012142857536673546,0.0,LINEAR_WAYPOINT
1690145246.8625755,0.0,0.0,11.9,56.173583984375,40,0.113,0.21582741530161878,121.05,11.9,56.890380859375,39,-9.266,0.1678657674568146,147.95,11.9,54.607177734375,41,9.266,-0.0,43.04,12.0,57.36083984375,38,-1.356,0.11209520697593689,0.07577461004257202,9.861950874328613,-0.0074410829693078995,0.0027550181839615107,0.10599249601364136,-0.08409743010997772,-0.07415175437927246,-0.2500930428504944-0.1741894781589508-0.35242655873298645,0.2087259292602539,-0.810741126537323,47.9990348815918,47.034881591796875,37.64864730834961,-0.2518756687641144,-9.652162551879883,-0.04284743219614029,-0.4419541358947754,0.0882541835308075,0.00791510846465826,-0.0031604724936187267,-0.001097828964702785,-0.0015705267535608414,0.0009050665539689362-0.00372208748012781140.020698534324765205,0.014691352844238281,0.019257817417383194,48.170433044433594,44.657283782958984,38.26946258544922,0.011428571306169033,0.0,LINEAR_WAYPOINT
1690145246.894502,-0.023980823922402087,2.69,11.9,56.17333984375,41,0.678,0.31175071099122714,126.42999999999999,11.9,56.892578125,39,-11.074,0.263789063146423,150.64,11.9,54.609375,41,11.3,-0.0,64.56,12.0,57.36083984375,38,-1.695,0.15934011340141296,0.7228543758392334,9.748798370361328,-0.004778633359819651,0.0036733096931129694,0.14668413996696472,-0.09243680536746979,-0.08476334810256958,-0.2617993950843811-0.3232700824737549-0.44837266206741333,0.0695657730102539,-0.3667314946651459,48.060672760009766,47.02570343017578,38.110595703125,-0.13290460407733917,-9.632917404174805,0.08915606141090393,-0.4298214018344879,0.12355482578277588,0.010965157300233841,-0.005658589769154787,-0.0010663843713700771,-0.0015266577350061539,0.0010569113073870540.0160355009138584140.01669088751077652,0.014691352844238281,0.0930178314447403,48.13944625854492,44.645042419433594,38.274749755859375,0.020952381193637848,0.0,LINEAR_WAYPOINT
1690145246.9270422,-0.023980823922402087,18.83,11.9,56.173095703125,41,1.1300000000000001,0.4076740066808355,112.98,11.9,56.895263671875,39,-11.865,0.3836931827584334,150.64,11.8,54.612060546875,41,12.317,-0.0,88.77,12.0,57.36083984375,38,-2.1470000000000002,0.0913030207157135,0.5023512840270996,9.556398391723633,-0.013964999467134476,0.005203939042985439,0.17271777987480164,-0.10086569935083389,-0.09503143280744553,-0.2617993950843811-0.34853893518447876-0.43113869428634644,0.0768899917602539,-0.48102447390556335,48.060672760009766,47.02876281738281,38.41413879394531,-0.15755626559257507,-9.545775413513184,-0.20511996746063232,-0.4335910975933075,0.1634858101606369,-0.006670704111456871,-0.0010773739777505398,-0.0010299008572474122,-0.0016315619098108414,0.0012094287667423487-0.0099087981507182120.0349511057138443,0.011029243469238281,0.040679797530174255,48.201419830322266,44.65422058105469,38.28102111816406,0.009999999776482582,0.0,LINEAR_WAYPOINT
1690145246.9586678,-0.023980823922402087,29.59,11.9,56.173095703125,41,1.243,0.5035973023704439,78.01,11.9,56.898193359375,39,-11.865,0.4796164784480417,118.36,11.8,54.614990234375,41,12.43,-0.0,110.28999999999999,12.0,57.36083984375,38,-2.712,0.19117000699043274,0.03432704508304596,9.568629264831543,-0.016744550317525864,0.006093330215662718,0.16611617803573608,-0.10923437774181366,-0.10543907433748245,-0.2617993950843811-0.3040757477283478-0.34948018193244934,0.1721048355102539,-0.8480141162872314,48.060672760009766,47.0410041809082,38.72806930541992,-0.19078242778778076,-9.568066596984863,-0.2010997235774994,-0.28750327229499817,0.15482406318187714,-0.008191443048417568,0.0020641740411520004,-0.0009888199856504798,-0.0016372839557092789,0.0013608565786853433-0.0114500541239976880.034006815403699875,0.014691352844238281,0.07386384904384613,48.201419830322266,44.648101806640625,38.288734436035156,0.02023809589445591,0.0,LINEAR_WAYPOINT
